1314	1317	0.012	-0.939	0.012	0.717	0.432
1314	1317	0.010	-0.960	0.009	0.704	0.644
1314	1317	0.008	-0.977	0.007	0.692	0.822
1317	1320	0.017	0.883	0.016	0.363	0.608
1317	1320	0.015	0.844	0.022	0.046	0.209
1317	1320	0.019	0.807	0.022	0.179	0.134
1317	1320	0.021	0.764	0.024	0.204	0.092
1317	1320	0.023	0.718	0.025	0.222	0.069
1317	1320	0.025	0.668	0.027	0.273	0.057
1317	1320	0.027	0.615	0.028	0.438	0.050
1317	1320	0.028	0.558	0.029	0.399	0.045
1317	1320	0.030	0.499	0.031	0.384	0.041
1317	1320	0.031	0.438	0.032	0.521	0.038
1317	1320	0.032	0.374	0.033	0.480	0.036
1317	1320	0.033	0.309	0.033	0.453	0.035
1317	1320	0.034	0.242	0.034	0.574	0.034
1317	1320	0.034	0.173	0.035	0.595	0.033
1317	1320	0.035	0.104	0.035	0.522	0.033
1317	1320	0.035	0.035	0.034	0.600	0.034
1317	1320	0.035	-0.034	0.034	0.601	0.036
1317	1320	0.035	-0.104	0.034	0.650	0.037
1317	1320	0.034	-0.173	0.034	0.671	0.038
1317	1320	0.034	-0.242	0.034	0.669	0.039
1317	1320	0.033	-0.309	0.033	0.696	0.039
1317	1320	0.032	-0.374	0.032	0.728	0.040
1317	1320	0.032	-0.438	0.031	0.659	0.041
1317	1320	0.031	-0.499	0.030	0.686	0.044
1317	1320	0.029	-0.559	0.029	0.631	0.048
1317	1320	0.028	-0.615	0.027	0.696	0.052
1317	1320	0.027	-0.668	0.025	0.698	0.061
1317	1320	0.026	-0.718	0.023	0.752	0.073
1317	1320	0.023	-0.765	0.022	0.682	0.095
1317	1320	0.021	-0.808	0.020	0.609	0.134
1317	1320	0.019	-0.847	0.018	0.888	0.161
1317	1320	0.017	-0.882	0.016	0.635	0.194
1317	1320	0.015	-0.912	0.013	0.147	0.306
1317	1320	0.013	-0.938	0.011	0.442	0.400
1317	1320	0.011	-0.959	0.008	-0.690	0.750
1317	1320	0.008	-0.977	0.006	-0.465	0.788
1320	1323	0.017	0.883	0.016	-0.371	0.698
1320	1323	0.015	0.844	0.022	0.310	0.322
1320	1323	0.019	0.807	0.022	0.134	0.174
1320	1323	0.021	0.764	0.024	0.256	0.112
1320	1323	0.023	0.718	0.025	0.477	0.088
1320	1323	0.025	0.668	0.026	0.432	0.071
1320	1323	0.027	0.615	0.028	0.304	0.062
1320	1323	0.028	0.558	0.029	0.390	0.055
1320	1323	0.030	0.500	0.030	0.394	0.052
1320	1323	0.031	0.438	0.032	0.431	0.047
1320	1323	0.032	0.374	0.033	0.567	0.045
1320	1323	0.033	0.309	0.033	0.547	0.043
1320	1323	0.034	0.242	0.034	0.530	0.041
1320	1323	0.034	0.173	0.034	0.537	0.041
1320	1323	0.035	0.105	0.035	0.574	0.040
1320	1323	0.035	0.035	0.034	0.543	0.041
1320	1323	0.036	-0.034	0.034	0.600	0.043
1320	1323	0.035	-0.104	0.035	0.650	0.046
1320	1323	0.034	-0.174	0.035	0.679	0.047
1320	1323	0.034	-0.242	0.034	0.726	0.047
1320	1323	0.033	-0.309	0.033	0.636	0.046
1320	1323	0.032	-0.374	0.032	0.678	0.049
1320	1323	0.032	-0.438	0.031	0.709	0.051
1320	1323	0.030	-0.499	0.030	0.578	0.054
1320	1323	0.029	-0.559	0.029	0.662	0.059
1320	1323	0.028	-0.614	0.027	0.592	0.064
1320	1323	0.027	-0.668	0.025	0.706	0.075
1320	1323	0.026	-0.717	0.023	0.682	0.090
1320	1323	0.023	-0.765	0.022	0.639	0.123
1320	1323	0.022	-0.807	0.019	0.586	0.152
1320	1323	0.020	-0.846	0.017	0.547	0.202
1320	1323	0.017	-0.882	0.016	0.749	0.234
1320	1323	0.015	-0.912	0.014	0.258	0.377
1320	1323	0.012	-0.939	0.012	-0.138	0.455
1320	1323	0.010	-0.960	0.009	0.403	0.784
1320	1323	0.008	-0.977	0.007	0.638	0.833
1323	1326	0.015	0.844	0.022	0.258	0.250
1323	1326	0.019	0.807	0.022	0.084	0.128
1323	1326	0.021	0.764	0.024	0.256	0.093
1323	1326	0.023	0.718	0.025	0.448	0.070
1323	1326	0.025	0.668	0.026	0.316	0.058
1323	1326	0.027	0.615	0.028	0.305	0.050
1323	1326	0.029	0.558	0.029	0.387	0.044
